InvoiceNo,JournalNo,OrderID,InvoiceDate,Store,Salesperson,Payment,SKU,Category,Product,Brand,Qty,UnitPrice,Discount,NetRevenue,VATRate,VATOutput,InvoiceTotal,UnitCost,TotalCost,GrossProfit,MarginPct,AR_Debit,Revenue_Credit,VATOutput_Credit,COGS_Debit,Inventory_Credit,AR_Account,Revenue_Account,VAT_Account,COGS_Account,Inventory_Account
INV20260600720,JV20260600720,SO20260600720,2026-06-18,HCM-Q1,NV019,Thẻ,VC-354E06,Máy hút bụi,Dyson V8,Senko,2,3386695,0.19,5486445,0.08,438915,5925360,2652000,5304000,182445,0.0333,5925360,5486445,438915,5304000,5304000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600721,JV20260600721,SO20260600721,2026-06-19,CT-NK,NV014,Tiền mặt,WM-345051,Máy giặt,LG 9kg,Senko,2,5259279,0.09,9571887,0.08,765750,10337637,4369000,8738000,833887,0.0871,10337637,9571887,765750,8738000,8738000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600722,JV20260600722,SO20260600722,2026-06-21,DN-HC,NV006,Tiền mặt,MW-278BC7,Lò vi sóng,Electrolux 23L,Mitsubishi,1,1755816,0.17,1457327,0.08,116586,1573913,1338000,1338000,119327,0.0819,1573913,1457327,116586,1338000,1338000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600723,JV20260600723,SO20260600723,2026-06-04,HCM-Q1,NV011,Trả góp,WM-AD6A90,Máy giặt,Panasonic 8.5kg,Electrolux,1,15497801,0.05,14722910,0.08,1177832,15900742,12490000,12490000,2232910,0.1517,15900742,14722910,1177832,12490000,12490000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600724,JV20260600724,SO20260600724,2026-06-03,BD-TDM,NV011,Tiền mặt,AC-9D4B2B,Máy lạnh,Mitsubishi 1.5HP,Sony,3,20519430,0.2,49246632,0.08,3939730,53186362,15010000,45030000,4216632,0.0856,53186362,49246632,3939730,45030000,45030000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600725,JV20260600725,SO20260600725,2026-06-05,HN-HBT,NV012,Trả góp,WM-4F93AF,Máy giặt,LG 9kg,Sunhouse,3,17367679,0.07,48455824,0.08,3876465,52332289,13275000,39825000,8630824,0.1781,52332289,48455824,3876465,39825000,39825000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600726,JV20260600726,SO20260600726,2026-06-27,HN-HBT,NV012,Tiền mặt,TV-3277C5,TV,"TCL 50""",Cuckoo,2,31941871,0.12,56217692,0.08,4497415,60715107,26894000,53788000,2429692,0.0432,60715107,56217692,4497415,53788000,53788000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600727,JV20260600727,SO20260600727,2026-06-10,HCM-Q7,NV018,Tiền mặt,RF-7AFE5C,Tủ lạnh,LG 420L,Electrolux,2,20988570,0.14,36100340,0.08,2888027,38988367,16356000,32712000,3388340,0.0939,38988367,36100340,2888027,32712000,32712000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600728,JV20260600728,SO20260600728,2026-06-05,DN-HC,NV019,Ví điện tử,TV-65942A,TV,"Sony 65""",Toshiba,1,10541543,0.03,10225296,0.08,818023,11043319,8954000,8954000,1271296,0.1243,11043319,10225296,818023,8954000,8954000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600729,JV20260600729,SO20260600729,2026-06-30,CT-NK,NV015,Ví điện tử,RF-742B7E,Tủ lạnh,Samsung Inverter 350L,Asia,2,16155471,0.03,31341613,0.08,2507329,33848942,12223000,24446000,6895613,0.22,33848942,31341613,2507329,24446000,24446000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600730,JV20260600730,SO20260600730,2026-06-03,HN-HBT,NV018,Chuyển khoản,FN-7632BC,Quạt,Asia,Panasonic,1,1125193,0.01,1113941,0.08,89115,1203056,621000,621000,492941,0.4425,1203056,1113941,89115,621000,621000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600731,JV20260600731,SO20260600731,2026-06-23,CT-NK,NV023,Ví điện tử,VC-A4DECF,Máy hút bụi,Dyson V8,Mitsubishi,3,2461883,0.03,7164079,0.08,573126,7737205,1857000,5571000,1593079,0.2224,7737205,7164079,573126,5571000,5571000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600732,JV20260600732,SO20260600732,2026-06-27,HCM-Q1,NV013,Chuyển khoản,AC-076657,Máy lạnh,Mitsubishi 1.5HP,Xiaomi,1,10952115,0.16,9199776,0.08,735982,9935758,7727000,7727000,1472776,0.1601,9935758,9199776,735982,7727000,7727000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600733,JV20260600733,SO20260600733,2026-06-05,CT-NK,NV004,Tiền mặt,RC-7604F1,Nồi cơm,Sunhouse 1.2L,Daikin,1,3280118,0.18,2689696,0.08,215175,2904871,2413000,2413000,276696,0.1029,2904871,2689696,215175,2413000,2413000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600734,JV20260600734,SO20260600734,2026-06-27,CT-NK,NV012,Chuyển khoản,AC-3E9D78,Máy lạnh,Mitsubishi 1.5HP,Electrolux,2,14739084,0.17,24466879,0.08,1957350,26424229,10828000,21656000,2810879,0.1149,26424229,24466879,1957350,21656000,21656000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600735,JV20260600735,SO20260600735,2026-06-08,HN-CG,NV014,Chuyển khoản,AC-CBBDDE,Máy lạnh,Panasonic 1.5HP,Sharp,2,10395029,0.1,18711052,0.08,1496884,20207936,7565000,15130000,3581052,0.1914,20207936,18711052,1496884,15130000,15130000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600736,JV20260600736,SO20260600736,2026-06-30,HCM-Q1,NV011,Trả góp,KT-697052,Ấm siêu tốc,Sunhouse,Samsung,2,279715,0.08,514675,0.08,41174,555849,189000,378000,136675,0.2656,555849,514675,41174,378000,378000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600737,JV20260600737,SO20260600737,2026-06-18,HN-HBT,NV001,Thẻ,BL-08E06D,Máy xay,Philips Blender,Casper,3,1606730,0.13,4193565,0.08,335485,4529050,887000,2661000,1532565,0.3655,4529050,4193565,335485,2661000,2661000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600738,JV20260600738,SO20260600738,2026-06-06,DN-HC,NV012,Thẻ,BL-2439D2,Máy xay,Philips Blender,Sony,1,2527165,0.18,2072275,0.08,165782,2238057,1656000,1656000,416275,0.2009,2238057,2072275,165782,1656000,1656000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600739,JV20260600739,SO20260600739,2026-06-07,HCM-Q1,NV026,Tiền mặt,TV-249EF8,TV,"Samsung 55"" 4K",Samsung,1,19562967,0.0,19562967,0.08,1565037,21128004,16817000,16817000,2745967,0.1404,21128004,19562967,1565037,16817000,16817000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600740,JV20260600740,SO20260600740,2026-06-04,HCM-Q7,NV005,Tiền mặt,TV-92EE57,TV,LG OLED 48,LG,3,10812023,0.06,30489904,0.08,2439192,32929096,9447000,28341000,2148904,0.0705,32929096,30489904,2439192,28341000,28341000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600741,JV20260600741,SO20260600741,2026-06-18,HN-CG,NV023,Tiền mặt,AC-F05394,Máy lạnh,Casper 1HP,Cuckoo,2,13726969,0.05,26081241,0.08,2086499,28167740,10899000,21798000,4283241,0.1642,28167740,26081241,2086499,21798000,21798000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600742,JV20260600742,SO20260600742,2026-06-09,HN-CG,NV027,Ví điện tử,AC-462093,Máy lạnh,Casper 1HP,Daikin,1,14993546,0.14,12894449,0.08,1031555,13926004,11119000,11119000,1775449,0.1377,13926004,12894449,1031555,11119000,11119000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600743,JV20260600743,SO20260600743,2026-06-23,BD-TDM,NV026,Ví điện tử,AC-9D4B2B,Máy lạnh,Mitsubishi 1.5HP,Sony,3,20864670,0.08,57586489,0.08,4606919,62193408,15244000,45732000,11854489,0.2059,62193408,57586489,4606919,45732000,45732000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600744,JV20260600744,SO20260600744,2026-06-16,HN-HBT,NV023,Thẻ,RC-443576,Nồi cơm,Sharp 1.8L,Asia,1,1788283,0.01,1770400,0.08,141632,1912032,1234000,1234000,536400,0.303,1912032,1770400,141632,1234000,1234000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600745,JV20260600745,SO20260600745,2026-06-11,CT-NK,NV030,Ví điện tử,VC-BEE8C8,Máy hút bụi,Xiaomi G10,Asia,3,2900408,0.15,7396040,0.08,591683,7987723,2191000,6573000,823040,0.1113,7987723,7396040,591683,6573000,6573000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600746,JV20260600746,SO20260600746,2026-06-10,HN-CG,NV016,Tiền mặt,TV-AAC019,TV,"Sony 65""",Sunhouse,1,8801237,0.04,8449187,0.08,675934,9125121,6762000,6762000,1687187,0.1997,9125121,8449187,675934,6762000,6762000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600747,JV20260600747,SO20260600747,2026-06-14,HCM-TB,NV014,Ví điện tử,RF-309876,Tủ lạnh,Aqua 250L,LG,2,21178376,0.14,36426806,0.08,2914144,39340950,17627000,35254000,1172806,0.0322,39340950,36426806,2914144,35254000,35254000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600748,JV20260600748,SO20260600748,2026-06-10,HCM-Q7,NV027,Ví điện tử,MW-E7A58E,Lò vi sóng,Panasonic 25L,Philips,2,2229325,0.01,4414063,0.08,353125,4767188,1400000,2800000,1614063,0.3657,4767188,4414063,353125,2800000,2800000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600749,JV20260600749,SO20260600749,2026-06-06,HCM-Q1,NV015,Thẻ,FN-422F6A,Quạt,Senko,Sharp,1,1161856,0.05,1103763,0.08,88301,1192064,700000,700000,403763,0.3658,1192064,1103763,88301,700000,700000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600750,JV20260600750,SO20260600750,2026-06-13,HCM-TB,NV008,Ví điện tử,MW-F2FBBA,Lò vi sóng,Panasonic 25L,Sunhouse,3,5729297,0.13,14953465,0.08,1196277,16149742,3614000,10842000,4111465,0.275,16149742,14953465,1196277,10842000,10842000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600751,JV20260600751,SO20260600751,2026-06-04,DN-HC,NV014,Trả góp,VC-2D4AC5,Máy hút bụi,Philips FC,Toshiba,1,10781523,0.11,9595555,0.08,767644,10363199,7794000,7794000,1801555,0.1877,10363199,9595555,767644,7794000,7794000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600752,JV20260600752,SO20260600752,2026-06-08,HCM-TB,NV011,Thẻ,MW-03CA06,Lò vi sóng,Electrolux 23L,Aqua,1,2177600,0.0,2177600,0.08,174208,2351808,1650000,1650000,527600,0.2423,2351808,2177600,174208,1650000,1650000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600753,JV20260600753,SO20260600753,2026-06-22,CT-NK,NV008,Chuyển khoản,BL-14DC96,Máy xay,Sunhouse Blender,Sony,2,1418231,0.1,2552815,0.08,204225,2757040,858000,1716000,836815,0.3278,2757040,2552815,204225,1716000,1716000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600754,JV20260600754,SO20260600754,2026-06-11,HCM-TB,NV017,Tiền mặt,RC-4E5AAE,Nồi cơm,Panasonic 1.8L,Sony,2,1421211,0.15,2416058,0.08,193284,2609342,949000,1898000,518058,0.2144,2609342,2416058,193284,1898000,1898000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600755,JV20260600755,SO20260600755,2026-06-21,HN-HBT,NV002,Ví điện tử,VC-852D6B,Máy hút bụi,Philips FC,Sunhouse,3,11137534,0.12,29403089,0.08,2352247,31755336,7425000,22275000,7128089,0.2424,31755336,29403089,2352247,22275000,22275000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600756,JV20260600756,SO20260600756,2026-06-24,DN-HC,NV012,Ví điện tử,WM-911CBD,Máy giặt,LG 9kg,Cuckoo,3,4702309,0.0,14106927,0.08,1128554,15235481,3769000,11307000,2799927,0.1985,15235481,14106927,1128554,11307000,11307000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600757,JV20260600757,SO20260600757,2026-06-24,HCM-TB,NV003,Ví điện tử,VC-F4F02F,Máy hút bụi,Xiaomi G10,Senko,3,6554934,0.17,16321785,0.08,1305742,17627527,4798000,14394000,1927785,0.1181,17627527,16321785,1305742,14394000,14394000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600758,JV20260600758,SO20260600758,2026-06-11,HN-CG,NV003,Ví điện tử,BL-E21F60,Máy xay,Philips Blender,Electrolux,2,2921610,0.14,5025169,0.08,402013,5427182,1885000,3770000,1255169,0.2498,5427182,5025169,402013,3770000,3770000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600759,JV20260600759,SO20260600759,2026-06-30,BD-TDM,NV010,Tiền mặt,BL-14DC96,Máy xay,Sunhouse Blender,Sony,3,1205999,0.09,3292377,0.08,263390,3555767,724000,2172000,1120377,0.3403,3555767,3292377,263390,2172000,2172000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600760,JV20260600760,SO20260600760,2026-06-12,BD-TDM,NV004,Tiền mặt,FN-310542,Quạt,Senko,Casper,1,1536079,0.08,1413192,0.08,113055,1526247,904000,904000,509192,0.3603,1526247,1413192,113055,904000,904000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600761,JV20260600761,SO20260600761,2026-06-15,BD-TDM,NV012,Chuyển khoản,RF-8F66CC,Tủ lạnh,Aqua 250L,Xiaomi,3,9880302,0.01,29344496,0.08,2347559,31692055,8493000,25479000,3865496,0.1317,31692055,29344496,2347559,25479000,25479000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600762,JV20260600762,SO20260600762,2026-06-19,HN-CG,NV010,Chuyển khoản,WM-F9045A,Máy giặt,LG 9kg,Casper,3,9634462,0.06,27169182,0.08,2173534,29342716,8072000,24216000,2953182,0.1087,29342716,27169182,2173534,24216000,24216000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600763,JV20260600763,SO20260600763,2026-06-06,HN-CG,NV009,Tiền mặt,RF-742B7E,Tủ lạnh,Samsung Inverter 350L,Asia,2,23992134,0.18,39347099,0.08,3147767,42494866,20345000,40690000,-1342901,-0.0341,42494866,39347099,3147767,40690000,40690000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600764,JV20260600764,SO20260600764,2026-06-09,BD-TDM,NV007,Thẻ,FN-5D5A92,Quạt,Asia,Casper,2,1176475,0.2,1882360,0.08,150588,2032948,730000,1460000,422360,0.2244,2032948,1882360,150588,1460000,1460000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600765,JV20260600765,SO20260600765,2026-06-22,BD-TDM,NV022,Tiền mặt,RC-13DEBA,Nồi cơm,Panasonic 1.8L,Mitsubishi,3,1872781,0.18,4607041,0.08,368563,4975604,1137000,3411000,1196041,0.2596,4975604,4607041,368563,3411000,3411000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600766,JV20260600766,SO20260600766,2026-06-10,DN-HC,NV020,Trả góp,MW-807E15,Lò vi sóng,Panasonic 25L,Asia,1,4720953,0.1,4248857,0.08,339908,4588765,3198000,3198000,1050857,0.2473,4588765,4248857,339908,3198000,3198000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600767,JV20260600767,SO20260600767,2026-06-16,HCM-Q1,NV008,Ví điện tử,WM-B4B226,Máy giặt,Samsung 10kg,Electrolux,1,13337649,0.06,12537390,0.08,1002991,13540381,10180000,10180000,2357390,0.188,13540381,12537390,1002991,10180000,10180000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600768,JV20260600768,SO20260600768,2026-06-21,HN-HBT,NV027,Thẻ,VC-90DAA9,Máy hút bụi,Dyson V8,Casper,2,7600239,0.02,14896468,0.08,1191717,16088185,5307000,10614000,4282468,0.2875,16088185,14896468,1191717,10614000,10614000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600769,JV20260600769,SO20260600769,2026-06-04,BD-TDM,NV029,Tiền mặt,TV-3A9F5F,TV,LG OLED 48,Casper,3,33833606,0.11,90335728,0.08,7226858,97562586,29179000,87537000,2798728,0.031,97562586,90335728,7226858,87537000,87537000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600770,JV20260600770,SO20260600770,2026-06-26,HN-CG,NV015,Ví điện tử,FN-AEDFD9,Quạt,Panasonic,Sony,2,1483632,0.1,2670537,0.08,213642,2884179,822000,1644000,1026537,0.3844,2884179,2670537,213642,1644000,1644000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600771,JV20260600771,SO20260600771,2026-06-08,HN-HBT,NV019,Thẻ,RC-7AB9A8,Nồi cơm,Panasonic 1.8L,Electrolux,1,3272167,0.15,2781341,0.08,222507,3003848,2390000,2390000,391341,0.1407,3003848,2781341,222507,2390000,2390000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600772,JV20260600772,SO20260600772,2026-06-01,HCM-Q7,NV006,Chuyển khoản,AC-F47F82,Máy lạnh,Panasonic 1.5HP,LG,1,11034978,0.03,10703928,0.08,856314,11560242,9180000,9180000,1523928,0.1424,11560242,10703928,856314,9180000,9180000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600773,JV20260600773,SO20260600773,2026-06-30,HCM-Q7,NV010,Tiền mặt,AC-D7C5BD,Máy lạnh,Daikin 1HP,Daikin,3,15617782,0.06,44042145,0.08,3523371,47565516,12080000,36240000,7802145,0.1772,47565516,44042145,3523371,36240000,36240000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600774,JV20260600774,SO20260600774,2026-06-30,HN-HBT,NV002,Trả góp,RC-120EAC,Nồi cơm,Sunhouse 1.2L,Sharp,1,1954052,0.11,1739106,0.08,139128,1878234,1240000,1240000,499106,0.287,1878234,1739106,139128,1240000,1240000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600775,JV20260600775,SO20260600775,2026-06-21,BD-TDM,NV028,Ví điện tử,FN-05A833,Quạt,Asia,Aqua,2,715666,0.01,1417018,0.08,113361,1530379,499000,998000,419018,0.2957,1530379,1417018,113361,998000,998000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600776,JV20260600776,SO20260600776,2026-06-24,HN-CG,NV015,Ví điện tử,AC-190181,Máy lạnh,Mitsubishi 1.5HP,Sharp,3,19163446,0.12,50591497,0.08,4047319,54638816,14977000,44931000,5660497,0.1119,54638816,50591497,4047319,44931000,44931000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600777,JV20260600777,SO20260600777,2026-06-06,HCM-TB,NV007,Chuyển khoản,RF-20BB5C,Tủ lạnh,Panasonic 300L,Sharp,2,9663522,0.05,18360691,0.08,1468855,19829546,7334000,14668000,3692691,0.2011,19829546,18360691,1468855,14668000,14668000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600778,JV20260600778,SO20260600778,2026-06-30,DN-HC,NV001,Trả góp,WM-911CBD,Máy giặt,LG 9kg,Cuckoo,1,10854154,0.16,9117489,0.08,729399,9846888,9074000,9074000,43489,0.0048,9846888,9117489,729399,9074000,9074000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600779,JV20260600779,SO20260600779,2026-06-27,BD-TDM,NV025,Ví điện tử,KT-A1D1DD,Ấm siêu tốc,Sunhouse,Senko,1,1146759,0.15,974745,0.08,77979,1052724,771000,771000,203745,0.209,1052724,974745,77979,771000,771000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600780,JV20260600780,SO20260600780,2026-06-16,HN-HBT,NV030,Tiền mặt,VC-110A19,Máy hút bụi,Philips FC,Philips,1,7406784,0.1,6666105,0.08,533288,7199393,5260000,5260000,1406105,0.2109,7199393,6666105,533288,5260000,5260000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600781,JV20260600781,SO20260600781,2026-06-14,HCM-TB,NV006,Trả góp,BL-86D7E5,Máy xay,Philips Blender,Aqua,1,850135,0.04,816129,0.08,65290,881419,481000,481000,335129,0.4106,881419,816129,65290,481000,481000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600782,JV20260600782,SO20260600782,2026-06-23,HN-HBT,NV001,Thẻ,AC-8636EE,Máy lạnh,Casper 1HP,Sony,1,7459180,0.18,6116527,0.08,489322,6605849,5607000,5607000,509527,0.0833,6605849,6116527,489322,5607000,5607000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600783,JV20260600783,SO20260600783,2026-06-10,HCM-TB,NV009,Thẻ,FN-230559,Quạt,Asia,Sharp,2,663942,0.0,1327884,0.08,106230,1434114,452000,904000,423884,0.3192,1434114,1327884,106230,904000,904000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600784,JV20260600784,SO20260600784,2026-06-19,BD-TDM,NV010,Ví điện tử,KT-4F7F55,Ấm siêu tốc,Sunhouse,Electrolux,1,1326524,0.0,1326524,0.08,106121,1432645,933000,933000,393524,0.2967,1432645,1326524,106121,933000,933000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600785,JV20260600785,SO20260600785,2026-06-06,HCM-TB,NV018,Tiền mặt,AC-A7840C,Máy lạnh,Mitsubishi 1.5HP,Panasonic,1,19895876,0.2,15916700,0.08,1273336,17190036,14008000,14008000,1908700,0.1199,17190036,15916700,1273336,14008000,14008000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
INV20260600786,JV20260600786,SO20260600786,2026-06-07,HN-HBT,NV002,Chuyển khoản,TV-3A3210,TV,LG OLED 48,Xiaomi,1,31535027,0.11,28066174,0.08,2245293,30311467,24867000,24867000,3199174,0.114,30311467,28066174,2245293,24867000,24867000,131-Phải thu khách hàng,511-Doanh thu bán hàng,3331-Thuế GTGT đầu ra,632-Giá vốn hàng bán,156-Hàng hóa
